,image,split,ih,iw,sh,sw,color,object,part,material,scene,texture,objects,n_objects
47967,pascal/2009_001653.jpg,val,224,224,112,112,pascal/2009_001653_color.png,pascal/2009_001653_object.png,pascal/2009_001653_part.png,,,,[183],1
41910,pascal/2010_004104.jpg,train,224,224,112,112,pascal/2010_004104_color.png,pascal/2010_004104_object.png,pascal/2010_004104_part.png,,,,[105],1
50504,pascal/2009_002645.jpg,val,224,224,112,112,pascal/2009_002645_color.png,pascal/2009_002645_object.png,pascal/2009_002645_part.png,,,,[128],1
44641,pascal/2008_008379.jpg,val,224,224,112,112,pascal/2008_008379_color.png,pascal/2008_008379_object.png,pascal/2008_008379_part.png,,,,[185],1
61876,pascal/2010_001660.jpg,val,224,224,112,112,pascal/2010_001660_color.png,pascal/2010_001660_object.png,pascal/2010_001660_part.png,,,,[105],1
56581,pascal/2010_002631.jpg,val,224,224,112,112,pascal/2010_002631_color.png,pascal/2010_002631_object.png,pascal/2010_002631_part.png,,,,[93],1
14720,pascal/2009_001792.jpg,train,224,224,112,112,pascal/2009_001792_color.png,pascal/2009_001792_object.png,pascal/2009_001792_part.png,,,,[93],1
48718,pascal/2010_005752.jpg,val,224,224,112,112,pascal/2010_005752_color.png,pascal/2010_005752_object.png,pascal/2010_005752_part.png,,,,[38],1
55421,ade20k/ADE_train_00002302.jpg,val,224,224,112,112,ade20k/ADE_train_00002302_color.png,ade20k/ADE_train_00002302_object.png,,,0.0,,[68],1
12457,ade20k/ADE_train_00009779.jpg,train,224,224,112,112,ade20k/ADE_train_00009779_color.png,ade20k/ADE_train_00009779_object.png,,,0.0,,[75],1
47706,pascal/2009_003848.jpg,val,224,224,112,112,pascal/2009_003848_color.png,pascal/2009_003848_object.png,pascal/2009_003848_part.png,,,,[63],1
9281,pascal/2008_001189.jpg,train,224,224,112,112,pascal/2008_001189_color.png,pascal/2008_001189_object.png,pascal/2008_001189_part.png,,,,[19],1
23660,pascal/2008_006147.jpg,train,224,224,112,112,pascal/2008_006147_color.png,pascal/2008_006147_object.png,pascal/2008_006147_part.png,,,,[168],1
4012,pascal/2010_004344.jpg,train,224,224,112,112,pascal/2010_004344_color.png,pascal/2010_004344_object.png,pascal/2010_004344_part.png,,,,[70],1
34643,pascal/2009_003419.jpg,train,224,224,112,112,pascal/2009_003419_color.png,pascal/2009_003419_object.png,pascal/2009_003419_part.png,,,,[105],1
7417,ade20k/ADE_train_00019499.jpg,train,224,224,112,112,ade20k/ADE_train_00019499_color.png,ade20k/ADE_train_00019499_object.png,,,0.0,,[68],1
39621,pascal/2009_001931.jpg,train,224,224,112,112,pascal/2009_001931_color.png,pascal/2009_001931_object.png,pascal/2009_001931_part.png,,,,[105],1
5830,pascal/2009_003222.jpg,train,224,224,112,112,pascal/2009_003222_color.png,pascal/2009_003222_object.png,pascal/2009_003222_part.png,,,,[105],1
34378,pascal/2009_000566.jpg,train,224,224,112,112,pascal/2009_000566_color.png,pascal/2009_000566_object.png,pascal/2009_000566_part.png,,,,[105],1
26894,pascal/2008_003636.jpg,train,224,224,112,112,pascal/2008_003636_color.png,pascal/2008_003636_object.png,pascal/2008_003636_part.png,,,,[145],1
34375,ade20k/ADE_train_00008161.jpg,train,224,224,112,112,ade20k/ADE_train_00008161_color.png,ade20k/ADE_train_00008161_object.png,,,504.0,,[16],1
24763,pascal/2010_000310.jpg,train,224,224,112,112,pascal/2010_000310_color.png,pascal/2010_000310_object.png,pascal/2010_000310_part.png,,,,[70],1
47582,pascal/2010_001220.jpg,val,224,224,112,112,pascal/2010_001220_color.png,pascal/2010_001220_object.png,pascal/2010_001220_part.png,,,,[38],1
17796,pascal/2008_004148.jpg,train,224,224,112,112,pascal/2008_004148_color.png,pascal/2008_004148_object.png,pascal/2008_004148_part.png,,,,[19],1
41993,pascal/2008_000902.jpg,train,224,224,112,112,pascal/2008_000902_color.png,pascal/2008_000902_object.png,pascal/2008_000902_part.png,,,,[19],1
2345,pascal/2010_001356.jpg,train,224,224,112,112,pascal/2010_001356_color.png,pascal/2010_001356_object.png,pascal/2010_001356_part.png,,,,[243],1
20017,pascal/2009_000330.jpg,train,224,224,112,112,pascal/2009_000330_color.png,pascal/2009_000330_object.png,pascal/2009_000330_part.png,,,,[105],1
62692,pascal/2010_001675.jpg,val,224,224,112,112,pascal/2010_001675_color.png,pascal/2010_001675_object.png,pascal/2010_001675_part.png,,,,[183],1
27708,pascal/2009_004031.jpg,train,224,224,112,112,pascal/2009_004031_color.png,pascal/2009_004031_object.png,pascal/2009_004031_part.png,,,,[70],1
61916,ade20k/ADE_train_00013646.jpg,val,224,224,112,112,ade20k/ADE_train_00013646_color.png,ade20k/ADE_train_00013646_object.png,,,,,[68],1
31844,pascal/2009_001074.jpg,train,224,224,112,112,pascal/2009_001074_color.png,pascal/2009_001074_object.png,pascal/2009_001074_part.png,,,,[115],1
29534,pascal/2008_002957.jpg,train,224,224,112,112,pascal/2008_002957_color.png,pascal/2008_002957_object.png,pascal/2008_002957_part.png,,,,[105],1
34353,ade20k/ADE_val_00000363.jpg,train,224,224,112,112,ade20k/ADE_val_00000363_color.png,ade20k/ADE_val_00000363_object.png,,,429.0,,[16],1
45740,pascal/2009_001807.jpg,val,224,224,112,112,pascal/2009_001807_color.png,pascal/2009_001807_object.png,pascal/2009_001807_part.png,,,,[128],1
25663,pascal/2008_001369.jpg,train,224,224,112,112,pascal/2008_001369_color.png,pascal/2008_001369_object.png,pascal/2008_001369_part.png,,,,[19],1
