unit,category,label,score,object-label,object-truth,object-activation,object-intersect,object-iou
161,object,tvmonitor,0.266398171129,tvmonitor,364868.0,462746.0,174096.0,0.266398171129
336,object,motorbike,0.20394463378,motorbike,717454.0,461392.0,199693.0,0.20394463378
406,object,bottle,0.195883331312,bottle,394251.0,463531.0,140503.0,0.195883331312
246,object,bird,0.16531092672,bird,836215.0,463694.0,184405.0,0.16531092672
177,object,airplane,0.158293890262,airplane,738527.0,457657.0,163472.0,0.158293890262
287,object,bicycle,0.150867958325,bicycle,569104.0,435766.0,131729.0,0.150867958325
491,object,pottedplant,0.147779142442,pottedplant,445751.0,480361.0,119239.0,0.147779142442
178,object,bicycle,0.145300897024,bicycle,569104.0,464703.0,131156.0,0.145300897024
322,object,airplane,0.135287075113,airplane,738527.0,482833.0,145544.0,0.135287075113
212,object,airplane,0.134683349755,airplane,738527.0,454529.0,141612.0,0.134683349755
432,object,airplane,0.131766758126,airplane,738527.0,463046.0,139894.0,0.131766758126
200,object,motorbike,0.130600223309,motorbike,717454.0,454109.0,135332.0,0.130600223309
160,object,sheep,0.129871851009,sheep,619943.0,445751.0,122495.0,0.129871851009
488,object,bottle,0.127494553854,bottle,394251.0,429713.0,93172.0,0.127494553854
180,object,bicycle,0.12298928482,bicycle,569104.0,471386.0,113954.0,0.12298928482
15,object,cow,0.121766982127,cow,553537.0,444268.0,108311.0,0.121766982127
76,object,bottle,0.120506181578,bottle,394251.0,447908.0,90571.0,0.120506181578
159,object,cow,0.116877705237,cow,553537.0,422097.0,102097.0,0.116877705237
72,object,bottle,0.114119975062,bottle,394251.0,427769.0,84200.0,0.114119975062
146,object,bottle,0.11284513965,bottle,394251.0,443471.0,84947.0,0.11284513965
145,object,cow,0.110223180583,cow,553537.0,418540.0,96508.0,0.110223180583
167,object,snow,0.109313336979,snow,593452.0,489879.0,106753.0,0.109313336979
169,object,waterfall,0.108314565653,waterfall,155710.0,474696.0,61609.0,0.108314565653
204,object,bicycle,0.108239545464,bicycle,569104.0,449080.0,99444.0,0.108239545464
97,object,tvmonitor,0.108171993807,tvmonitor,364868.0,424617.0,77064.0,0.108171993807
484,object,airplane,0.105945906675,airplane,738527.0,418382.0,110828.0,0.105945906675
24,object,airplane,0.105173132606,airplane,738527.0,422548.0,110493.0,0.105173132606
464,object,sheep,0.104843154967,sheep,619943.0,434358.0,100047.0,0.104843154967
505,object,bird,0.103232115106,bird,836215.0,427405.0,118240.0,0.103232115106
113,object,airplane,0.102505059616,airplane,738527.0,439783.0,109553.0,0.102505059616
331,object,road,0.0993173644765,road,1653161.0,471925.0,191990.0,0.0993173644765
470,object,boat,0.0973247808367,boat,548978.0,435375.0,87305.0,0.0973247808367
487,object,airplane,0.0965457417213,airplane,738527.0,439616.0,103730.0,0.0965457417213
157,object,cat,0.0955900592499,cat,3027927.0,443575.0,302888.0,0.0955900592499
458,object,bottle,0.0908770559594,bottle,394251.0,435397.0,69115.0,0.0908770559594
399,object,airplane,0.0907898756572,airplane,738527.0,457595.0,99557.0,0.0907898756572
457,object,train,0.0907110888073,train,322417.0,425248.0,62181.0,0.0907110888073
43,object,horse,0.0901674486815,horse,630341.0,457947.0,90012.0,0.0901674486815
227,object,mountain,0.087961411938,mountain,3343771.0,462227.0,307714.0,0.087961411938
270,object,car,0.0875510869069,car,1761365.0,428132.0,176261.0,0.0875510869069
478,object,sheep,0.0875279051801,sheep,619943.0,425975.0,84179.0,0.0875279051801
512,object,bird,0.0869194324219,bird,836215.0,426468.0,100975.0,0.0869194324219
347,object,horse,0.0866662203884,horse,630341.0,441038.0,85447.0,0.0866662203884
354,object,flower,0.0865563257074,flower,152663.0,449136.0,47940.0,0.0865563257074
33,object,airplane,0.0834553386469,airplane,738527.0,431465.0,90121.0,0.0834553386469
462,object,cat,0.0833614140711,cat,3027927.0,444294.0,267177.0,0.0833614140711
30,object,ball,0.0832146805588,ball,91092.0,426234.0,39742.0,0.0832146805588
166,object,train,0.0829556607271,train,322417.0,422402.0,57054.0,0.0829556607271
375,object,horse,0.0825248640229,horse,630341.0,443410.0,81856.0,0.0825248640229
234,object,ball,0.0792146340956,ball,91092.0,427789.0,38086.0,0.0792146340956
408,object,dog,0.0779791145231,dog,2820161.0,435019.0,235474.0,0.0779791145231
501,object,motorbike,0.0777332929648,motorbike,717454.0,428752.0,82672.0,0.0777332929648
511,object,sea,0.0773182875393,sea,1245468.0,450273.0,121702.0,0.0773182875393
305,object,sand,0.0770549842618,sand,527159.0,454554.0,70234.0,0.0770549842618
129,object,sea,0.0769437902274,sea,1245468.0,442300.0,120585.0,0.0769437902274
195,object,chair,0.0768421831784,chair,747784.0,445159.0,85127.0,0.0768421831784
346,object,cat,0.0760531132148,cat,3027927.0,466775.0,246998.0,0.0760531132148
143,object,airplane,0.0751143363866,airplane,738527.0,424164.0,81233.0,0.0751143363866
504,object,ceiling,0.0751124725307,ceiling,782242.0,439862.0,85382.0,0.0751124725307
428,object,train,0.0739794711698,train,322417.0,426848.0,51612.0,0.0739794711698
228,object,bicycle,0.0736233880534,bicycle,569104.0,440948.0,69264.0,0.0736233880534
8,object,water,0.0732848761441,water,3382502.0,480012.0,263736.0,0.0732848761441
264,object,cow,0.0727584785887,cow,553537.0,425265.0,66386.0,0.0727584785887
396,object,airplane,0.0726637181159,airplane,738527.0,435556.0,79534.0,0.0726637181159
312,object,tvmonitor,0.072548899942,tvmonitor,364868.0,408399.0,52305.0,0.072548899942
299,object,bicycle,0.0723082010303,bicycle,569104.0,449147.0,68663.0,0.0723082010303
83,object,bird,0.0711122300002,bird,836215.0,435930.0,84459.0,0.0711122300002
472,object,airplane,0.0708663546852,airplane,738527.0,409748.0,75989.0,0.0708663546852
137,object,dog,0.0704612523882,dog,2820161.0,447392.0,215081.0,0.0704612523882
243,object,dog,0.0691661960882,dog,2820161.0,447769.0,211408.0,0.0691661960882
57,object,sea,0.0679176513852,sea,1245468.0,456278.0,108228.0,0.0679176513852
168,object,cat,0.0677984716425,cat,3027927.0,423581.0,219149.0,0.0677984716425
279,object,sheep,0.0677333440943,sheep,619943.0,438437.0,67140.0,0.0677333440943
284,object,snow,0.0677015347322,snow,593452.0,482158.0,68203.0,0.0677015347322
348,object,bottle,0.0675144374896,bottle,394251.0,399130.0,50177.0,0.0675144374896
376,object,airplane,0.0669567762282,airplane,738527.0,431740.0,73440.0,0.0669567762282
154,object,dog,0.066509168135,dog,2820161.0,440566.0,203344.0,0.066509168135
277,object,bus,0.0662980386372,bus,415611.0,437324.0,53032.0,0.0662980386372
323,object,bottle,0.0661159231927,bottle,394251.0,444069.0,51989.0,0.0661159231927
226,object,cat,0.0660866518527,cat,3027927.0,422552.0,213895.0,0.0660866518527
343,object,waterfall,0.0656277232863,waterfall,155710.0,419015.0,35395.0,0.0656277232863
301,object,dog,0.0648563812479,dog,2820161.0,419590.0,197321.0,0.0648563812479
368,object,motorbike,0.0646883805428,motorbike,717454.0,431217.0,69791.0,0.0646883805428
485,object,book,0.0643252575035,book,89584.0,441228.0,32081.0,0.0643252575035
418,object,bird,0.0634181038219,bird,836215.0,415158.0,74627.0,0.0634181038219
414,object,chair,0.0627905484833,chair,747784.0,428452.0,69493.0,0.0627905484833
77,object,skyscraper,0.0626911353556,skyscraper,812956.0,450876.0,74557.0,0.0626911353556
440,object,motorbike,0.0617872023463,motorbike,717454.0,422932.0,66361.0,0.0617872023463
170,object,ball,0.0617031219629,ball,91092.0,422354.0,29840.0,0.0617031219629
56,object,bird,0.0616749802045,bird,836215.0,434869.0,73840.0,0.0616749802045
240,object,sheep,0.0616299776687,sheep,619943.0,422136.0,60495.0,0.0616299776687
283,object,dog,0.0612671270423,dog,2820161.0,442033.0,188327.0,0.0612671270423
251,object,mountain,0.0608054692383,mountain,3343771.0,450989.0,217516.0,0.0608054692383
247,object,airplane,0.0607565841628,airplane,738527.0,418908.0,66294.0,0.0607565841628
64,object,bottle,0.0607362702743,bottle,394251.0,424089.0,46857.0,0.0607362702743
477,object,motorbike,0.0600089063931,motorbike,717454.0,427486.0,64817.0,0.0600089063931
102,object,mountain,0.0599036313654,mountain,3343771.0,465865.0,215313.0,0.0599036313654
419,object,dog,0.059498785497,dog,2820161.0,439458.0,183052.0,0.059498785497
18,object,bird,0.0589964783044,bird,836215.0,442088.0,71214.0,0.0589964783044
105,object,airplane,0.0589676567563,airplane,738527.0,451759.0,66280.0,0.0589676567563
492,object,cat,0.0581466666259,cat,3027927.0,429472.0,189989.0,0.0581466666259
493,object,sheep,0.0576267332341,sheep,619943.0,431210.0,57274.0,0.0576267332341
40,object,river,0.056767384643,river,427489.0,468487.0,48130.0,0.056767384643
507,object,bottle,0.0562023168917,bottle,394251.0,417563.0,43198.0,0.0562023168917
149,object,airplane,0.0561675928253,airplane,738527.0,412871.0,61232.0,0.0561675928253
132,object,boat,0.0556503263526,boat,548978.0,451674.0,52751.0,0.0556503263526
131,object,bottle,0.0554629327931,bottle,394251.0,438238.0,43746.0,0.0554629327931
373,object,sheep,0.0553231139345,sheep,619943.0,431105.0,55099.0,0.0553231139345
1,object,dog,0.0539672133486,dog,2820161.0,430530.0,166448.0,0.0539672133486
191,object,motorbike,0.0535783623123,motorbike,717454.0,414027.0,57540.0,0.0535783623123
