unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
454,object,car,0.270310251914,red-c,21004512.0,3501728.0,194719.0,0.0080093302266,car,5354795.0,3229747.0,1826711.0,0.270310251914,wheel,1513439.0,2658986.0,112686.0,0.0277569567896,auto_showroom-s,301056.0,1004209.0,56059.0,0.0448757050478,,24924928.0,99291.0,91623.0,0.00367482792406
168,object,train,0.26870622737,black-c,139916835.0,3602518.0,1065627.0,0.00748051335632,train,1646804.0,3037555.0,992126.0,0.26870622737,coach,689166.0,2329641.0,340021.0,0.126931005314,train_station-outdoor-s,137984.0,402665.0,29367.0,0.0574379696528,interlaced,1630720.0,305239.0,21130.0,0.0110349279231
385,scene,closet-s,0.250894486338,red-c,21004512.0,3445211.0,157600.0,0.00648769973707,apparel,217035.0,1637372.0,135115.0,0.0785875813998,drawer,540514.0,579472.0,10797.0,0.00973413908721,closet-s,990976.0,1092365.0,417860.0,0.250894486338,pleated,1505280.0,945962.0,149734.0,0.0650590830012
110,scene,art_gallery-s,0.24711784574,pink-c,18491188.0,3427344.0,173616.0,0.00798421111399,painting,2207098.0,1526570.0,319949.0,0.0937244688271,screen,677188.0,583196.0,48203.0,0.039765513566,art_gallery-s,953344.0,937137.0,374601.0,0.24711784574,paisley,1555456.0,1099944.0,218651.0,0.0897306205933
386,object,bus,0.242112084422,red-c,21004512.0,3475305.0,163364.0,0.00671824957365,bus,1628191.0,3221263.0,945254.0,0.242112084422,coach,689166.0,2456040.0,204800.0,0.0696502455783,bus_depot-outdoor-s,163072.0,524930.0,44286.0,0.0687974199802,,24924928.0,165581.0,149770.0,0.00600503457416
292,object,dog,0.233650386489,black-c,139916835.0,3605942.0,868025.0,0.00608479554891,dog,3793935.0,3371970.0,1357205.0,0.233650386489,head,4946761.0,3332151.0,994650.0,0.136547806765,chicken_coop-outdoor-s,188160.0,17082.0,1598.0,0.00784702716505,smeared,1869056.0,39174.0,7590.0,0.00399339169964
384,part,wheel,0.233504336804,black-c,139916835.0,3501050.0,953225.0,0.0066909576031,bicycle,1152271.0,2696425.0,591862.0,0.18172924994,wheel,1513439.0,2197338.0,702456.0,0.233504336804,garage-indoor-s,815360.0,491623.0,111246.0,0.0930355086445,spiralled,1605632.0,165778.0,20761.0,0.0118590305652
257,object,bus,0.229493646683,blue-c,61494563.0,3292438.0,394679.0,0.00612928665626,bus,1628191.0,2538681.0,777776.0,0.229493646683,coach,689166.0,1413716.0,36171.0,0.017501721334,greenhouse-outdoor-s,150528.0,887375.0,49953.0,0.0505622754188,,24924928.0,238682.0,147906.0,0.00591252598768
484,object,water,0.203897523715,blue-c,61494563.0,3595146.0,638227.0,0.00990244103309,water,5655946.0,3354064.0,1525976.0,0.203897523715,torso,7669375.0,1156638.0,49077.0,0.00559158685901,canal-urban-s,150528.0,879976.0,40275.0,0.0406724101193,,24924928.0,417181.0,322575.0,0.0128929259834
193,scene,skyscraper-s,0.203103619961,blue-c,61494563.0,3473675.0,651501.0,0.0101295717163,skyscraper,1270392.0,2286056.0,535761.0,0.177363957272,body,1291612.0,283818.0,24677.0,0.0159129145647,skyscraper-s,4402944.0,1816902.0,1050012.0,0.203103619961,chequered,1530368.0,1022041.0,114714.0,0.047058389175
