unit,category,label,score,object-label,object-truth,object-activation,object-intersect,object-iou
166,object,train,0.243693866702,train,482027.0,495887.0,191616.0,0.243693866702
427,object,pool table,0.235459372633,pool table,221990.0,510226.0,139549.0,0.235459372633
429,object,pool table,0.229812850098,pool table,221990.0,472002.0,129685.0,0.229812850098
489,object,pool table,0.22893903083,pool table,221990.0,504136.0,135270.0,0.22893903083
161,object,tvmonitor,0.213949347919,tvmonitor,257910.0,518027.0,136753.0,0.213949347919
457,object,train,0.177703689177,train,482027.0,490801.0,146790.0,0.177703689177
277,object,bus,0.155606631942,bus,458866.0,447645.0,122065.0,0.155606631942
392,object,train,0.155008737884,train,482027.0,478290.0,128880.0,0.155008737884
30,object,pool table,0.145795138196,pool table,221990.0,438601.0,84056.0,0.145795138196
180,object,bicycle,0.12928115016,bicycle,183866.0,523064.0,80930.0,0.12928115016
53,object,pool table,0.128182748152,pool table,221990.0,461779.0,77689.0,0.128182748152
336,object,motorbike,0.127141803148,motorbike,196731.0,458658.0,73928.0,0.127141803148
31,object,bus,0.127031882129,bus,458866.0,442063.0,101547.0,0.127031882129
178,object,bicycle,0.124799582808,bicycle,183866.0,510655.0,77059.0,0.124799582808
227,object,mountain,0.120221587506,mountain,506518.0,466148.0,104386.0,0.120221587506
287,object,bicycle,0.119818267327,bicycle,183866.0,461408.0,69043.0,0.119818267327
511,object,sea,0.118413282347,sea,184840.0,508319.0,73389.0,0.118413282347
462,object,pool table,0.117858183909,pool table,221990.0,464461.0,72374.0,0.117858183909
222,object,grass,0.114065758223,grass,1806678.0,492229.0,235378.0,0.114065758223
140,object,bed,0.112092430456,bed,2701545.0,482419.0,320925.0,0.112092430456
205,object,grass,0.111770585819,grass,1806678.0,496745.0,231572.0,0.111770585819
72,object,bus,0.11174164791,bus,458866.0,447010.0,91050.0,0.11174164791
8,object,water,0.111280687172,water,532714.0,495424.0,102955.0,0.111280687172
428,object,train,0.111097807307,train,482027.0,445943.0,92787.0,0.111097807307
342,object,pool table,0.107222459658,pool table,221990.0,428274.0,62971.0,0.107222459658
76,object,train,0.106737010567,train,482027.0,446024.0,89504.0,0.106737010567
403,object,bus,0.105144690951,bus,458866.0,433745.0,84924.0,0.105144690951
449,object,pool table,0.101439492247,pool table,221990.0,471473.0,63866.0,0.101439492247
117,object,bed,0.0995675688406,bed,2701545.0,473342.0,287491.0,0.0995675688406
13,object,bus,0.0978710592257,bus,458866.0,445446.0,80616.0,0.0978710592257
438,object,sink,0.097123406155,sink,212829.0,494967.0,62658.0,0.097123406155
323,object,toilet,0.096031649633,toilet,145593.0,486061.0,55344.0,0.096031649633
422,object,train,0.0942253061422,train,482027.0,423149.0,77946.0,0.0942253061422
375,object,horse,0.0931521090209,horse,119789.0,460654.0,49462.0,0.0931521090209
85,object,pool table,0.0930829200715,pool table,221990.0,470783.0,58994.0,0.0930829200715
251,object,mountain,0.0915619153029,mountain,506518.0,487598.0,83388.0,0.0915619153029
341,object,train,0.0897421881153,train,482027.0,444972.0,76340.0,0.0897421881153
200,object,motorbike,0.089484014167,motorbike,196731.0,439410.0,52249.0,0.089484014167
281,object,dog,0.0889692549155,dog,157609.0,485570.0,52548.0,0.0889692549155
327,object,bed,0.0875600831704,bed,2701545.0,459779.0,254520.0,0.0875600831704
272,object,horse,0.0841251512152,horse,119789.0,471688.0,45897.0,0.0841251512152
408,object,bus,0.0822683004223,bus,458866.0,427923.0,67409.0,0.0822683004223
354,object,flower,0.0821679135151,flower,144736.0,483206.0,47679.0,0.0821679135151
359,object,train,0.0819298830445,train,482027.0,439721.0,69800.0,0.0819298830445
261,object,pool table,0.0808712317079,pool table,221990.0,446905.0,50047.0,0.0808712317079
412,object,bus,0.0807965916631,bus,458866.0,419131.0,65636.0,0.0807965916631
332,object,food,0.0800810639205,food,144133.0,476757.0,46035.0,0.0800810639205
310,object,horse,0.0797263609062,horse,119789.0,472713.0,43750.0,0.0797263609062
198,object,track,0.0793657941163,track,204995.0,466173.0,49351.0,0.0793657941163
382,object,book,0.0793109119316,book,198105.0,484421.0,50154.0,0.0793109119316
372,object,train,0.0787704266741,train,482027.0,431684.0,66718.0,0.0787704266741
456,object,pool table,0.0765697079658,pool table,221990.0,447322.0,47604.0,0.0765697079658
93,object,bus,0.0762280441332,bus,458866.0,425660.0,62650.0,0.0762280441332
376,object,horse,0.0761731269987,horse,119789.0,474519.0,42066.0,0.0761731269987
156,object,washer,0.0760635666846,washer,81108.0,427954.0,35984.0,0.0760635666846
374,object,computer,0.0753772424291,computer,145312.0,473559.0,43379.0,0.0753772424291
490,object,bed,0.0748628599787,bed,2701545.0,445489.0,219187.0,0.0748628599787
447,object,bed,0.0747956780576,bed,2701545.0,457531.0,219842.0,0.0747956780576
260,object,sink,0.0744838491367,sink,212829.0,457174.0,46445.0,0.0744838491367
43,object,horse,0.0730656919363,horse,119789.0,456781.0,39259.0,0.0730656919363
270,object,bus,0.0705848841626,bus,458866.0,443166.0,59472.0,0.0705848841626
40,object,water,0.0698701469223,water,532714.0,493958.0,67049.0,0.0698701469223
199,object,toilet,0.0693481500972,toilet,145593.0,447753.0,38479.0,0.0693481500972
147,object,bed,0.0681854169051,bed,2701545.0,462323.0,201959.0,0.0681854169051
386,object,sink,0.0680561129785,sink,212829.0,468437.0,43410.0,0.0680561129785
485,object,book,0.0672634000797,book,198105.0,458278.0,41368.0,0.0672634000797
217,object,stove,0.0670846780154,stove,109262.0,446560.0,34943.0,0.0670846780154
33,object,bed,0.0667850770484,bed,2701545.0,455886.0,197668.0,0.0667850770484
154,object,dog,0.0666114561266,dog,157609.0,430976.0,36758.0,0.0666114561266
57,object,sea,0.0663642914385,sea,184840.0,448542.0,39418.0,0.0663642914385
312,object,tvmonitor,0.0661984451895,tvmonitor,257910.0,409591.0,41444.0,0.0661984451895
491,object,pottedplant,0.0661767565493,pottedplant,145806.0,484732.0,39137.0,0.0661767565493
137,object,dog,0.065689663618,dog,157609.0,451552.0,37549.0,0.065689663618
177,object,airplane,0.065536692159,airplane,83520.0,460136.0,33438.0,0.065536692159
443,object,person,0.0653951086427,person,3666588.0,488389.0,255037.0,0.0653951086427
497,object,case,0.0653084159065,case,265769.0,481221.0,45794.0,0.0653084159065
406,object,bottle,0.0648814309023,bottle,149259.0,478610.0,38255.0,0.0648814309023
356,object,bed,0.0648342434644,bed,2701545.0,479823.0,193703.0,0.0648342434644
139,object,bus,0.0645228301965,bus,458866.0,437904.0,54355.0,0.0645228301965
27,object,case,0.0640941652002,case,265769.0,479779.0,44907.0,0.0640941652002
299,object,bookcase,0.0640303824092,bookcase,190538.0,473185.0,39941.0,0.0640303824092
122,object,computer,0.0638321224356,computer,145312.0,445951.0,35477.0,0.0638321224356
212,object,airplane,0.0636884092707,airplane,83520.0,462350.0,32684.0,0.0636884092707
367,object,train,0.0636419278651,train,482027.0,428576.0,54485.0,0.0636419278651
244,object,seat,0.0630681266781,seat,595164.0,456440.0,62388.0,0.0630681266781
104,object,plate,0.0627584856032,plate,115067.0,454630.0,33642.0,0.0627584856032
73,object,pool table,0.0626632581615,pool table,221990.0,426072.0,38215.0,0.0626632581615
132,object,pool table,0.0623292288298,pool table,221990.0,457241.0,39852.0,0.0623292288298
204,object,bicycle,0.0607738652656,bicycle,183866.0,456136.0,36667.0,0.0607738652656
235,object,motorbike,0.0597939142574,motorbike,196731.0,459965.0,37051.0,0.0597939142574
471,object,bus,0.0597150436646,bus,458866.0,422357.0,49657.0,0.0597150436646
349,object,bed,0.0587552266805,bed,2701545.0,429641.0,173764.0,0.0587552266805
273,object,pool table,0.0584317242799,pool table,221990.0,425875.0,35766.0,0.0584317242799
297,object,pool table,0.058216945473,pool table,221990.0,437040.0,36256.0,0.058216945473
2,object,book,0.0581722809606,book,198105.0,447433.0,35488.0,0.0581722809606
128,object,car,0.0579504600696,car,1404867.0,433159.0,100680.0,0.0579504600696
101,object,dog,0.0578752656044,dog,157609.0,471191.0,34401.0,0.0578752656044
347,object,horse,0.0578142772479,horse,119789.0,454949.0,31412.0,0.0578142772479
79,object,bus,0.0561053892437,bus,458866.0,454568.0,48526.0,0.0561053892437
23,object,train,0.0554483295181,train,482027.0,435032.0,48178.0,0.0554483295181
220,object,bathtub,0.0552503099934,bathtub,243503.0,435616.0,35557.0,0.0552503099934
404,object,train,0.0551929879359,train,482027.0,443621.0,48417.0,0.0551929879359
275,object,dog,0.0550316030886,dog,157609.0,456987.0,32058.0,0.0550316030886
357,object,sink,0.0548288477923,sink,212829.0,439628.0,33914.0,0.0548288477923
9,object,bed,0.053900507591,bed,2701545.0,427200.0,160016.0,0.053900507591
99,object,horse,0.0537298515545,horse,119789.0,409470.0,26987.0,0.0537298515545
264,object,dog,0.0536003809773,dog,157609.0,422044.0,29489.0,0.0536003809773
67,object,shelf,0.0534069368852,shelf,689252.0,450548.0,57787.0,0.0534069368852
36,object,bed,0.053199736848,bed,2701545.0,474640.0,160437.0,0.053199736848
305,object,ground,0.0528102364544,ground,1158324.0,475249.0,81942.0,0.0528102364544
35,object,bus,0.0527710611001,bus,458866.0,425408.0,44325.0,0.0527710611001
238,object,bus,0.0527701321123,bus,458866.0,427737.0,44441.0,0.0527701321123
262,object,motorbike,0.0526499348756,motorbike,196731.0,440118.0,31853.0,0.0526499348756
507,object,pool table,0.0525980552195,pool table,221990.0,435728.0,32866.0,0.0525980552195
282,object,sofa,0.0525176951096,sofa,801422.0,470573.0,63469.0,0.0525176951096
405,object,bathtub,0.0523674253727,bathtub,243503.0,461861.0,35100.0,0.0523674253727
243,object,train,0.0523440975838,train,482027.0,414426.0,44590.0,0.0523440975838
224,object,cradle,0.052142011036,cradle,80089.0,450179.0,26279.0,0.052142011036
250,object,track,0.0519732536072,track,204995.0,434691.0,31604.0,0.0519732536072
24,object,computer,0.051849934945,computer,145312.0,439992.0,28852.0,0.051849934945
51,object,pool table,0.0515116305561,pool table,221990.0,424166.0,31654.0,0.0515116305561
169,object,train,0.0510363624263,train,482027.0,481272.0,46776.0,0.0510363624263
487,object,train,0.050650401851,train,482027.0,417501.0,43365.0,0.050650401851
279,object,car,0.0506168561883,car,1404867.0,435674.0,88674.0,0.0506168561883
121,object,horse,0.0504897672482,horse,119789.0,453000.0,27530.0,0.0504897672482
50,object,cat,0.050302747143,cat,115307.0,442200.0,26701.0,0.050302747143
245,object,chair,0.0500945265226,chair,1528113.0,442067.0,93987.0,0.0500945265226
368,object,car,0.0499391436891,car,1404867.0,441178.0,87805.0,0.0499391436891
293,object,case,0.0497340398032,case,265769.0,444881.0,33669.0,0.0497340398032
61,object,dog,0.0491909373668,dog,157609.0,435741.0,27819.0,0.0491909373668
218,object,dog,0.0488561009138,dog,157609.0,431416.0,27437.0,0.0488561009138
223,object,tvmonitor,0.0487163032419,tvmonitor,257910.0,439888.0,32415.0,0.0487163032419
473,object,bus,0.0484693701149,bus,458866.0,450872.0,42056.0,0.0484693701149
496,object,dog,0.048092593891,dog,157609.0,455260.0,28122.0,0.048092593891
283,object,dog,0.0480212052249,dog,157609.0,435069.0,27157.0,0.0480212052249
168,object,motorbike,0.0475827347293,motorbike,196731.0,428326.0,28391.0,0.0475827347293
192,object,train,0.0473736241149,train,482027.0,481032.0,43560.0,0.0473736241149
329,object,chest of drawers,0.0473635243861,chest of drawers,210342.0,429086.0,28916.0,0.0473635243861
56,object,cat,0.0471566501111,cat,115307.0,434134.0,24743.0,0.0471566501111
149,object,horse,0.0470034220987,horse,119789.0,440718.0,25163.0,0.0470034220987
331,object,road,0.0469507092045,road,5340281.0,464265.0,260306.0,0.0469507092045
21,object,food,0.0468216200401,food,144133.0,464107.0,27205.0,0.0468216200401
130,object,motorbike,0.0467543194981,motorbike,196731.0,447025.0,28754.0,0.0467543194981
355,object,motorbike,0.0467209745346,motorbike,196731.0,457680.0,29210.0,0.0467209745346
477,object,motorbike,0.0466280573404,motorbike,196731.0,427299.0,27801.0,0.0466280573404
221,object,toilet,0.0465265204556,toilet,145593.0,441095.0,26083.0,0.0465265204556
70,object,dog,0.0464795909701,dog,157609.0,458464.0,27363.0,0.0464795909701
86,object,cradle,0.0460607808179,cradle,80089.0,435052.0,22683.0,0.0460607808179
63,object,motorbike,0.0460096874361,motorbike,196731.0,453068.0,28582.0,0.0460096874361
157,object,dog,0.0458646179975,dog,157609.0,418790.0,25277.0,0.0458646179975
378,object,stove,0.0457868521324,stove,109262.0,437467.0,23937.0,0.0457868521324
322,object,airplane,0.0454742601002,airplane,83520.0,434731.0,22542.0,0.0454742601002
107,object,person,0.0453686339103,person,3666588.0,464436.0,179285.0,0.0453686339103
475,object,train,0.0452922695852,train,482027.0,459889.0,40813.0,0.0452922695852
