unit,category,label,score,object-label,object-truth,object-activation,object-intersect,object-iou
427,object,pool table,0.270220071839,pool table,170886.0,294844.0,99077.0,0.270220071839
489,object,pool table,0.241540037887,pool table,170886.0,285925.0,88872.0,0.241540037887
429,object,pool table,0.216673978088,pool table,170886.0,261773.0,77051.0,0.216673978088
205,object,grass,0.191922975331,grass,272458.0,278065.0,88645.0,0.191922975331
161,object,tvmonitor,0.189463617298,tvmonitor,139477.0,279665.0,66763.0,0.189463617298
30,object,pool table,0.156447948318,pool table,170886.0,251576.0,57152.0,0.156447948318
222,object,grass,0.153742047253,grass,272458.0,266313.0,71794.0,0.153742047253
342,object,pool table,0.133950200768,pool table,170886.0,239164.0,48438.0,0.133950200768
261,object,pool table,0.126049966531,pool table,170886.0,246302.0,46700.0,0.126049966531
462,object,pool table,0.125880651207,pool table,170886.0,250208.0,47081.0,0.125880651207
53,object,pool table,0.113975177314,pool table,170886.0,253025.0,43372.0,0.113975177314
140,object,bed,0.0979022996277,bed,1574503.0,252368.0,162906.0,0.0979022996277
156,object,washer,0.0957667565885,washer,41680.0,243467.0,24921.0,0.0957667565885
438,object,bathtub,0.0941949944713,bathtub,169677.0,268698.0,37738.0,0.0941949944713
270,object,car,0.0891879632589,car,380353.0,253574.0,51909.0,0.0891879632589
354,object,flower,0.0835590542294,flower,123918.0,260117.0,29615.0,0.0835590542294
24,object,tvmonitor,0.0783327443035,tvmonitor,139477.0,254122.0,28592.0,0.0783327443035
217,object,stove,0.0770442117338,stove,180040.0,255633.0,31165.0,0.0770442117338
177,object,car,0.0767208998661,car,380353.0,261181.0,45712.0,0.0767208998661
122,object,tvmonitor,0.076238909327,tvmonitor,139477.0,258387.0,28184.0,0.076238909327
331,object,road,0.0761340491411,road,1924478.0,269260.0,155202.0,0.0761340491411
374,object,tvmonitor,0.0760067960883,tvmonitor,139477.0,267741.0,28765.0,0.0760067960883
117,object,bed,0.0751686158035,bed,1574503.0,249956.0,127554.0,0.0751686158035
378,object,stove,0.0750204256068,stove,180040.0,247587.0,29842.0,0.0750204256068
327,object,bed,0.0741676878331,bed,1574503.0,244412.0,125590.0,0.0741676878331
490,object,bed,0.0721273509172,bed,1574503.0,253160.0,122956.0,0.0721273509172
443,object,person,0.0714917629243,person,1104355.0,265469.0,91397.0,0.0714917629243
491,object,plant,0.0701156579723,plant,439174.0,267433.0,46298.0,0.0701156579723
224,object,cradle,0.0683369584302,cradle,35491.0,262653.0,19071.0,0.0683369584302
449,object,pool table,0.0671294975275,pool table,170886.0,259196.0,27055.0,0.0671294975275
382,object,book,0.0664925706558,book,187631.0,258742.0,27830.0,0.0664925706558
273,object,pool table,0.0661033612329,pool table,170886.0,230342.0,24878.0,0.0661033612329
323,object,toilet,0.0659509009857,toilet,79529.0,260019.0,21008.0,0.0659509009857
324,object,washer,0.0658913537762,washer,41680.0,235844.0,17156.0,0.0658913537762
401,object,tree,0.0658267699607,tree,1331577.0,254839.0,97979.0,0.0658267699607
332,object,food,0.0657463376357,food,60989.0,259547.0,19774.0,0.0657463376357
223,object,tvmonitor,0.0655163777333,tvmonitor,139477.0,251917.0,24066.0,0.0655163777333
456,object,pool table,0.0653887161043,pool table,170886.0,262789.0,26617.0,0.0653887161043
139,object,car,0.0646673796791,car,380353.0,241812.0,37790.0,0.0646673796791
33,object,bed,0.0641936089984,bed,1574503.0,249229.0,110010.0,0.0641936089984
147,object,bed,0.0639193110984,bed,1574503.0,259962.0,110213.0,0.0639193110984
282,object,sofa,0.0638853663621,sofa,1213092.0,256755.0,88263.0,0.0638853663621
431,object,person,0.0637413373247,person,1104355.0,255917.0,81510.0,0.0637413373247
299,object,book,0.062941077236,book,187631.0,266028.0,26863.0,0.062941077236
128,object,car,0.0618501169363,car,380353.0,242575.0,36284.0,0.0618501169363
447,object,bed,0.0618059178216,bed,1574503.0,232954.0,105209.0,0.0618059178216
297,object,pool table,0.060339869281,pool table,170886.0,234694.0,23080.0,0.060339869281
31,object,pool table,0.0602141114074,pool table,170886.0,250107.0,23910.0,0.0602141114074
